"aarskog syndrome","PMH0002619"
"high arch","PMH0002241"
"high blood cholesterol levels","PMH0001440"
"high blood pressure","PMH0001502"
"high blood pressure - infants","PMH0004582"
"high blood pressure and eye disease","PMH0001994"
"high potassium levels","PMH0002162"
"hip pain","PMH0003665"
"hirschsprung’s disease","PMH0002125"
"histiocytosis","PMH0001133"
"histoplasmosis","PMH0002073"
"histoplasmosis - acute (primary) pulmonary","PMH0001160"
"histrionic personality disorder","PMH0002498"
"hiv infection","PMH0001627"
"hives","PMH0001848"
"hoarseness","PMH0003545"
"hodgkin lymphoma","PMH0001606"
"homocystinuria","PMH0002179"
"hookworm","PMH0001653"
"horner syndrome","PMH0001727"
"hospital-acquired pneumonia","PMH0001201"
"hot tub folliculitis","PMH0002431"
"hump behind the shoulders","PMH0003599"
"hunter syndrome","PMH0002183"
"huntington's disease","PMH0001775"
"hurler syndrome","PMH0002184"
"hydatidiform mole","PMH0001907"
"hydrocarbon pneumonia","PMH0002074"
"hydrocele","PMH0001546"
"hydrocephalus","PMH0002538"
"hydrops fetalis","PMH0004561"
"hymenolepiasis","PMH0002354"
"hyperactivity","PMH0003740"
"hyperaldosteronism - primary and secondary","PMH0001371"
"hypercalcemia","PMH0001404"
"hyperelastic skin","PMH0003764"
"hyperemesis gravidarum","PMH0002468"
"hyperglycemia - infants","PMH0004489"
"hyperhidrosis","PMH0004518"
"hyperimmunization","PMH0002337"
"hyperimmunoglobulin e syndrome","PMH0002288"
"hyperkalemic periodic paralysis","PMH0001359"
"hypermobile joints","PMH0003779"
"hyperparathyroidism","PMH0002195"
"hypersensitivity pneumonitis","PMH0001168"
"hypersplenism","PMH0002291"
"hypertensive heart disease","PMH0001216"
"hyperthyroidism","PMH0001396"
"hypertrophic cardiomyopathy","PMH0001243"
"hyperventilation","PMH0003562"
"hyperviscosity - newborn","PMH0001563"
"hypervitaminosis a","PMH0001390"
"hypervitaminosis d","PMH0002561"
"hyphema","PMH0002016"
"hypocalcemia - infants","PMH0004490"
"hypochondria","PMH0002216"
"hypoglycemia","PMH0001423"
"hypogonadism","PMH0002175"
"hypogonadotropic hypogonadism","PMH0001427"
"hypokalemia","PMH0001510"
"hypokalemic periodic paralysis","PMH0001355"
"hypomagnesemia","PMH0001358"
"hyponatremia","PMH0001431"
"hypoparathyroidism","PMH0001422"
"hypophosphatemia","PMH0001351"
"hypopituitarism","PMH0001383"
"hypoplastic left heart syndrome","PMH0002096"
"hypospadias","PMH0002265"
"hypothalamic dysfunction","PMH0002182"
"hypothalamic tumor","PMH0002191"
"hypothyroidism","PMH0001393"
"hypotonia","PMH0003782"
"hypovolemic shock","PMH0001220"
"ichthyosis vulgaris","PMH0002422"
"idiopathic hypercalciuria","PMH0001438"
"idiopathic hypersomnia","PMH0001806"
"idiopathic livedo reticularis","PMH0002449"
"idiopathic pulmonary fibrosis","PMH0001134"
"idiopathic thrombocytopenic purpura (itp)","PMH0001562"
"iga nephropathy","PMH0001500"
"immune hemolytic anemia","PMH0001602"
"immunodeficiency disorders","PMH0001821"
"impacted tooth","PMH0002052"
"imperforate anus","PMH0002132"
"impetigo","PMH0001863"
"inborn errors of metabolism","PMH0003090"
"incontinentia pigmenti","PMH0002550"
"incontinentia pigmenti achromians","PMH0002432"
"increased head circumference","PMH0003789"
"increased intracranial pressure","PMH0001797"
"indigestion","PMH0003744"
"industrial bronchitis","PMH0001136"
"infant botulism","PMH0002360"
"infant of diabetic mother","PMH0002564"
"infant reflexes","PMH0003776"
"infectious myringitis","PMH0002345"
"infertility","PMH0002173"
"ingrown toenail","PMH0002217"
"injury - kidney and ureter","PMH0002060"
"insomnia","PMH0001808"
"insomnia: tips for better sleep","PMH0002791"
"insulinoma","PMH0001424"
"intercostal retractions","PMH0003805"
"intersex","PMH0002634"
"interstitial cystitis","PMH0001508"
"interstitial keratitis","PMH0002576"
"interstitial nephritis","PMH0001498"
"intertrigo","PMH0003707"
"intestinal leiomyoma","PMH0001297"
"intestinal obstruction","PMH0001306"
"intestinal pseudo-obstruction","PMH0001299"
"intra-abdominal abscess","PMH0001261"
"intraductal papilloma","PMH0002218"
"intrauterine growth restriction","PMH0002469"
"intraventricular hemorrhage of the newborn","PMH0004555"
"intussusception - children","PMH0001954"
"iron deficiency anemia","PMH0001610"
"iron deficiency anemia - children","PMH0004451"
"irregular sleep-wake syndrome","PMH0001809"
"irritability","PMH0003698"
"irritable bowel syndrome","PMH0001292"
"isolated sleep paralysis","PMH0001804"
"itching","PMH0003701"
"jaundice","PMH0001259"
"jaundice causes","PMH0010383"
"jock itch","PMH0001879"
"joint pain","PMH0003745"
"joint swelling","PMH0003746"
"juvenile angiofibroma","PMH0002539"
"juvenile rheumatoid arthritis","PMH0001487"
"kaposi’s sarcoma","PMH0001682"
"kawasaki disease","PMH0001984"
"keloids","PMH0001852"
"keratoconus","PMH0002008"
"keratosis obturans","PMH0002584"
"keratosis pilaris","PMH0002433"
"kernicterus","PMH0004562"
"kidney stones","PMH0001493"
"klinefelter syndrome","PMH0001420"
"klippel-trenaunay syndrome","PMH0001205"
"knee pain","PMH0003671"
"knock knees","PMH0002243"
"krabbe disease","PMH0002178"
"kuru","PMH0002355"
"kwashiorkor","PMH0002571"
"kyphosis","PMH0002220"
"labyrinthitis","PMH0002049"
"lacrimal gland tumor","PMH0002578"
"lactic acidosis","PMH0001428"
"lactose intolerance","PMH0001321"
"lambert-eaton syndrome","PMH0001729"
"lamellar ichthyosis","PMH0001846"
"language disorder - children","PMH0002512"
"laryngeal nerve damage","PMH0002609"
"laryngitis","PMH0002361"
"leg pain","PMH0003668"
"legg-calve-perthes disease","PMH0002244"
"legionnaire disease","PMH0001641"
"leiomyosarcoma","PMH0001914"
"leishmaniasis","PMH0002362"
"leprosy","PMH0002323"
"leptospirosis","PMH0002352"
"lesch-nyhan syndrome","PMH0002620"
"leukemia","PMH0002276"
"leukemoid reaction","PMH0001601"
"leukoplakia","PMH0002041"
"leydig cell tumor","PMH0001446"
"lichen planus","PMH0001870"
"lichen simplex chronicus","PMH0001875"
"lichenified","PMH0003735"
"limb-girdle muscular dystrophies","PMH0001730"
"limited range of motion","PMH0003659"
"listeriosis","PMH0002356"
"liver disease","PMH0001254"
"liver metastases","PMH0001322"
"liver spots","PMH0002126"
"lordosis","PMH0003762"
"low back pain - acute","PMH0004668"
"low back pain - chronic","PMH0004665"
"low blood pressure","PMH0004536"
"low blood sugar - newborns","PMH0004559"
"low nasal bridge","PMH0003547"
"lower esophageal ring","PMH0001257"
"ludwig’s angina","PMH0002042"
"lump in the abdomen","PMH0003761"
"lung cancer","PMH0004529"
"lung cancer - non-small cell","PMH0004462"
"lung cancer - small cell","PMH0001180"
"lung disease","PMH0001131"
"lupus anticoagulants","PMH0001574"
"lupus nephritis","PMH0001512"
"lyme disease","PMH0002296"
"lymphadenitis","PMH0002278"
"lymphangitis","PMH0004551"
"lymphatic obstruction","PMH0002106"
"lymphofollicular hyperplasia","PMH0002353"
"lymphogranuloma venereum","PMH0001658"
"lymphoid hyperplasia","PMH0002297"
"macroamylasemia","PMH0002196"
"macroglobulinemia of waldenstrom","PMH0001614"
"macular degeneration - age-related","PMH0001995"
"macule","PMH0003713"
"major depression","PMH0001941"
"major depression with psychotic features","PMH0001929"
"malabsorption","PMH0001344"
"malaise","PMH0003578"
"malaria","PMH0001646"
"male pattern baldness","PMH0002160"
"malignant hypertension","PMH0001521"
"malignant hyperthermia","PMH0002292"
"malignant otitis externa","PMH0001693"
"malignant teratoma","PMH0002293"
"mallory-weiss tear","PMH0001315"
"malnutrition","PMH0001441"
"malocclusion of teeth","PMH0002053"
"maple syrup urine disease","PMH0001411"
"marfan syndrome","PMH0001455"
"marijuana intoxication","PMH0001948"
"mastoiditis","PMH0002029"
"mathematics disorder","PMH0002501"
"mcardle syndrome","PMH0001370"
"mccune-albright syndrome","PMH0002197"
"measles","PMH0002536"
"meatal stenosis","PMH0002566"
"meckel's diverticulum","PMH0001281"
"meconium aspiration syndrome","PMH0002563"
"mediastinal tumor","PMH0002077"
"mediastinitis","PMH0001145"
"medullary carcinoma of thyroid","PMH0001412"
"medullary cystic kidney disease","PMH0001499"
"meibomianitis","PMH0002588"
"melanoma","PMH0001853"
"melanoma of the eye","PMH0002017"
"melasma","PMH0001839"
"membranoproliferative gn","PMH0001507"
"membranous nephropathy","PMH0001504"
"memory loss","PMH0003741"
"meniere’s disease","PMH0001721"
"meningitis","PMH0001700"
"meningitis - cryptococcal","PMH0001665"
"meningitis - gram-negative","PMH0001635"
"meningitis - h. influenzae","PMH0001637"
"meningitis - meningococcal","PMH0001633"
"meningitis - pneumococcal","PMH0001632"
"meningitis - staphylococcal","PMH0001638"
"meningitis - tuberculous","PMH0001673"
"meningococcemia","PMH0002325"
"menkes syndrome","PMH0002145"
"menopause","PMH0001896"
"mesenteric artery ischemia","PMH0002141"
"mesenteric venous thrombosis","PMH0002142"
"mesothelioma - benign-fibrous","PMH0001175"
"mesothelioma - malignant","PMH0001174"
"metabolic acidosis","PMH0001376"
"metabolic neuropathies","PMH0002146"
"metabolic syndrome","PMH0004546"
"metachromatic leukodystrophy","PMH0002185"
"metastatic brain tumor","PMH0001774"
"metastatic cancer to the lung","PMH0001159"
"metastatic pleural tumor","PMH0001176"
"metatarsus adductus","PMH0002568"
"methemoglobinemia","PMH0001588"
"methemoglobinemia - acquired","PMH0001587"
"methylmalonic acidemia","PMH0002147"
"methylmercury poisoning","PMH0002617"
"metopic ridge","PMH0003796"
"microcephaly","PMH0003756"
"micrognathia","PMH0003790"
"migraine","PMH0001728"
"milia","PMH0002343"
"milk-alkali syndrome","PMH0001373"
"minimal change disease","PMH0001526"
"miscarriage","PMH0002458"
"miscarriage - threatened","PMH0001906"
"mitral stenosis","PMH0001227"
"mitral valve prolapse","PMH0001232"
"mitral valve regurgitation","PMH0001228"
"mittelschmerz","PMH0002472"
"molluscum contagiosum","PMH0001829"
"mongolian blue spots","PMH0002443"
"mononeuritis multiplex","PMH0001786"
"mononeuropathy","PMH0001784"
"mononucleosis","PMH0001617"
"morning sickness","PMH0003606"
"moro reflex","PMH0003777"
"morquio syndrome","PMH0002186"
"morton's neuroma","PMH0004542"
"mosaicism","PMH0002294"
"mouth sores","PMH0003550"
"mouth ulcers","PMH0002419"
"movement - uncontrollable","PMH0003685"
"movement - uncontrolled or slow","PMH0003681"
"movement - uncoordinated","PMH0003682"
"movement - unpredictable or jerky","PMH0003680"
"mrsa","PMH0004520"
"mucormycosis","PMH0001672"
"mucous cyst","PMH0002605"
"multi-infarct dementia","PMH0001754"
"multifocal atrial tachycardia","PMH0001238"
"multiple endocrine neoplasia (men) i","PMH0001435"
"multiple endocrine neoplasia (men) ii","PMH0001436"
"multiple lentigines syndrome","PMH0002444"
"multiple myeloma","PMH0001609"
"multiple sclerosis","PMH0001747"
"multiple system atrophy","PMH0001764"
"mumps","PMH0002524"
"munchausen syndrome by proxy","PMH0002522"
"muscle aches","PMH0003664"
"muscle atrophy","PMH0003672"
"muscle cramps","PMH0003677"
"muscle function loss","PMH0003674"
"muscle twitching","PMH0003780"
"muscular dystrophy","PMH0002172"
"myasthenia gravis","PMH0001731"
"mycoplasma pneumonia","PMH0001146"
"myelofibrosis","PMH0001558"
"myelomeningocele","PMH0002525"
"myocardial contusion","PMH0001251"
"myocarditis","PMH0001204"
"myocarditis - pediatric","PMH0004560"
"myopathic changes","PMH0002200"
"myositis","PMH0002225"
"myotonia congenita","PMH0002397"
"nabothian cyst","PMH0002482"
"nail abnormalities","PMH0003731"
"narcissistic personality disorder","PMH0001930"
"narcolepsy","PMH0001805"
"nasal congestion","PMH0003540"
"nasal discharge","PMH0003542"
"nasal flaring","PMH0003546"
"nasal polyps","PMH0002607"
"natal teeth","PMH0003752"
"natural short sleeper","PMH0001807"
"nausea and vomiting - adults","PMH0003604"
"nearsightedness","PMH0002018"
"neck lump","PMH0003587"
"neck pain","PMH0003516"
"necrotizing enterocolitis","PMH0002133"
"necrotizing granuloma","PMH0002231"
"necrotizing soft tissue infection","PMH0002415"
"necrotizing vasculitis","PMH0001468"
"neonatal abstinence syndrome","PMH0004566"
"neonatal conjunctivitis","PMH0002573"
"neonatal hypothyroidism","PMH0002174"
"neonatal respiratory distress syndrome","PMH0002530"
"neonatal sepsis","PMH0004557"
"nephrocalcinosis","PMH0001522"
"nephrotic syndrome","PMH0001520"
"neuralgia","PMH0002380"
"neuroblastoma","PMH0002381"
"neurofibromatosis 2","PMH0001799"
"neurofibromatosis-1","PMH0001850"
"neurogenic bladder","PMH0001761"
"neuronal ceroid lipofuscinoses (ncls)","PMH0002580"
"neuropathy secondary to drugs","PMH0001719"
"neurosarcoidosis","PMH0001736"
"neurosyphilis","PMH0001722"
"neutropenia - infants","PMH0004491"
"newborn jaundice","PMH0002526"
"nicotine and tobacco","PMH0001949"
"niemann-pick disease","PMH0002187"
"night terror","PMH0001812"
"nightmares","PMH0003693"
"nikolsky’s sign","PMH0003769"
"nipple discharge","PMH0002483"
"nocardia infection","PMH0001699"
"nodules","PMH0003714"
"noma","PMH0002318"
"non-hodgkin lymphoma","PMH0001607"
"noonan syndrome","PMH0002621"
"normal pressure hydrocephalus (nph)","PMH0001759"
"nosebleed","PMH0003594"
"numbness and tingling","PMH0003690"
"nummular eczema","PMH0001873"
"nursemaid’s elbow","PMH0001978"
"nystagmus","PMH0003528"
"obesity","PMH0004552"
"obesity hypoventilation syndrome (ohs)","PMH0001149"
"obesity in children","PMH0032881"
"obsessive-compulsive disorder","PMH0001926"
"obsessive-compulsive personality disorder","PMH0001938"
"obstructive sleep apnea","PMH0001814"
"obstructive uropathy","PMH0001536"
"occupational asthma","PMH0001169"
"occupational hearing loss","PMH0002043"
"olivopontocerebellar atrophy","PMH0001765"
"omphalocele","PMH0001989"
"opiate withdrawal","PMH0001945"
"opioid intoxication","PMH0001944"
"opisthotonos","PMH0003679"
"oppositional defiant disorder","PMH0002504"
"optic glioma","PMH0002019"
"optic nerve atrophy","PMH0002589"
"optic neuritis","PMH0001750"
"oral cancer","PMH0002030"
"orbital cellulitis","PMH0002007"
"orbital pseudotumor","PMH0002590"
"orchitis","PMH0002259"
"organic brain syndrome","PMH0002374"
"osgood-schlatter disease","PMH0002238"
"osler-weber-rendu syndrome","PMH0001840"
"osmotic diuresis","PMH0002246"
"osteitis fibrosa","PMH0002232"
"osteoarthritis","PMH0001460"
"osteogenesis imperfecta","PMH0002540"
"osteomalacia","PMH0001414"
"osteomyelitis","PMH0001473"
"osteonecrosis","PMH0004519"
"osteopenia - premature infants","PMH0004492"
"osteoporosis - overview","PMH0001400"
"osteosarcoma","PMH0002616"
"otitis","PMH0002312"
"otitis media with effusion","PMH0004432"
"otosclerosis","PMH0002031"
"ovarian cancer","PMH0001891"
"ovarian cysts","PMH0002473"
"ovarian hyperstimulation syndrome","PMH0004549"
"ovarian hypofunction","PMH0002148"
"ovarian overproduction of androgens","PMH0002149"
"overweight","PMH0003590"
"ozena","PMH0002594"
"paget’s disease of the bone","PMH0001451"
"painful menstrual periods","PMH0003637"
"painful swallowing","PMH0003603"
"palatal myoclonus","PMH0002603"
"paleness","PMH0003728"
"palpebral slant - eye","PMH0003799"
"pancreas divisum","PMH0001293"
"pancreatic abscess","PMH0001316"
"pancreatic carcinoma","PMH0001283"
"pancreatic islet cell tumor","PMH0001430"
"pancreatic pseudocyst","PMH0001317"
"panic disorder","PMH0001922"
"panic disorder with agoraphobia","PMH0001921"
"papule","PMH0003717"
"parainfluenza","PMH0002346"
"paranoid personality disorder","PMH0001934"
"paraphimosis","PMH0002260"
"parapneumonic pleural effusion","PMH0001194"
"paraquat poisoning","PMH0002076"
"parathyroid adenoma","PMH0002170"
"parathyroid cancer","PMH0004523"
"parathyroid hyperplasia","PMH0002171"
"parinaud oculoglandular syndrome","PMH0001746"
"parkinson’s disease","PMH0001762"
"paronychia","PMH0002416"
"paroxysmal cold hemoglobinuria (pch)","PMH0001583"
"paroxysmal nocturnal hemoglobinuria (pnh)","PMH0001561"
"paroxysmal supraventricular tachycardia (psvt)","PMH0001235"
"partial (focal) seizure","PMH0001717"
"patches","PMH0003715"
"patent ductus arteriosus","PMH0002527"
"patent foramen ovale","PMH0002102"
"pathological gambling","PMH0002488"
"pectus carinatum","PMH0003804"
"pectus excavatum","PMH0003803"
"pellagra","PMH0001382"
"pelvic inflammatory disease (pid)","PMH0001890"
"pemphigus vulgaris","PMH0001885"
"penis pain","PMH0003652"
"peptic ulcer","PMH0001255"
"perianal streptococcal cellulitis","PMH0002322"
"pericarditis","PMH0001234"
"pericarditis - after heart attack","PMH0001219"
"pericarditis - constrictive","PMH0002093"
"perichondritis","PMH0002233"
"periodontitis","PMH0002054"
"perioral dermatitis","PMH0002426"
"periorbital cellulitis","PMH0001971"
"peripartum cardiomyopathy","PMH0001240"
"peripheral artery disease - legs","PMH0001223"
"peripheral neuropathy","PMH0001619"
"perirenal abscess","PMH0002253"
"peritonitis","PMH0002311"
"peritonitis - secondary","PMH0001674"
"peritonitis - spontaneous","PMH0001671"
"peritonsillar abscess","PMH0001981"
"periventricular leukomalacia","PMH0004493"
"pernicious anemia","PMH0001595"
"personality disorders","PMH0001935"
"pertussis","PMH0002528"
"petit mal seizure","PMH0001716"
"petrositis","PMH0002234"
"peutz-jeghers syndrome","PMH0001290"
"pharyngitis","PMH0001678"
"pharyngitis - viral","PMH0002367"
"pharyngomaxillary space abscess","PMH0002610"
"phenylketonuria","PMH0002150"
"pheochromocytoma","PMH0001380"
"phlegmasia cerulea dolens","PMH0001249"
"phobia - simple/specific","PMH0001952"
"phonological disorder","PMH0002508"
"photophobia","PMH0003532"
"pica","PMH0002505"
"pick disease","PMH0001752"
"pierre robin syndrome","PMH0002574"
"pilonidal dimple","PMH0003737"
"pinguecula","PMH0002020"
"pinna abnormalities and low-set ears","PMH0003787"
"pinworms","PMH0002137"
"pituitary infarction","PMH0002151"
"pituitary tumor","PMH0001723"
"pityriasis alba","PMH0002434"
"pityriasis rosea","PMH0001874"
"pityriasis rubra pilaris","PMH0002442"
"placenta abruptio","PMH0001903"
"placenta previa","PMH0001902"
"placental insufficiency","PMH0002455"
"plague","PMH0001622"
"plantar fasciitis","PMH0004438"
"pleural effusion","PMH0001150"
"pleurisy","PMH0002347"
"plummer-vinson syndrome","PMH0002143"
"pneumocystis jiroveci pneumonia","PMH0001692"
"pneumomediastinum","PMH0001148"
"pneumonia - adults (community acquired)","PMH0001200"
"pneumonia - weakened immune system","PMH0001155"
"pneumothorax - infants","PMH0004565"
"point tenderness - abdomen","PMH0003757"
"poliomyelitis","PMH0002375"
"polyarteritis nodosa","PMH0002410"
"polychromatophilia","PMH0002295"
"polycystic kidney disease","PMH0001531"
"polycystic ovary syndrome","PMH0001408"
"polycythemia vera","PMH0001615"
"polydactyly","PMH0003662"
"polyhydramnios","PMH0003751"
"polymorphic light eruption","PMH0002448"
"polymyalgia rheumatica","PMH0001452"
"polymyositis - adult","PMH0001464"
"porphyria","PMH0002188"
"port-wine stain","PMH0002446"
"post-splenectomy syndrome","PMH0002268"
"post-streptococcal glomerulonephritis (gn)","PMH0001532"
"post-traumatic stress disorder","PMH0001923"
"posterior fossa tumor","PMH0002377"
"postherpetic neuralgia","PMH0004666"
"postpartum depression","PMH0004481"
"potter syndrome","PMH0002248"
"prader-willi syndrome","PMH0002572"
"precocious puberty","PMH0002152"
"preeclampsia","PMH0001900"
"pregnancy and herpes","PMH0002344"
"premature ejaculation","PMH0002492"
"premature infant","PMH0002529"
"premenstrual dysphoric disorder","PMH0004461"
"premenstrual syndrome","PMH0002474"
"prerenal azotemia","PMH0001537"
"presbyopia","PMH0002021"
"primary alveolar hypoventilation","PMH0001142"
"primary amyloidosis","PMH0001560"
"primary biliary cirrhosis","PMH0001327"
"primary lymphoma of the brain","PMH0001745"
"primary thrombocythemia","PMH0001570"
"proctitis","PMH0002124"
"progeria","PMH0002622"
"prognathism","PMH0003517"
"progressive multifocal leukoencephalopathy","PMH0001695"
"progressive supranuclear palsy","PMH0001772"
"prolactinoma","PMH0001377"
"prostate cancer","PMH0001418"
"prostatitis - bacterial acute","PMH0001547"
"prostatitis - nonbacterial - chronic","PMH0001551"
"protein-losing enteropathy","PMH0004588"
"proximal renal tubular acidosis","PMH0001527"
"prune belly syndrome","PMH0002249"
"pseudogout","PMH0001458"
"pseudohypoparathyroidism","PMH0001403"
"pseudomembranous colitis","PMH0001305"
"pseudotumor cerebri","PMH0001391"
"psittacosis","PMH0001152"
"psoriasis","PMH0001470"
"psoriasis - guttate","PMH0001825"
"psoriatic arthritis","PMH0001450"
"psychosis","PMH0002520"
"pterygium","PMH0002006"
"pubic lice","PMH0001844"
"pulmonary actinomycosis","PMH0001138"
"pulmonary alveolar proteinosis","PMH0001173"
"pulmonary arteriovenous fistula","PMH0002081"
"pulmonary aspergilloma","PMH0001184"
"pulmonary atresia","PMH0002082"
"pulmonary edema","PMH0001195"
"pulmonary embolus","PMH0001189"
"pulmonary hypertension","PMH0001171"
"pulmonary nocardiosis","PMH0001147"
"pulmonary tuberculosis","PMH0001141"
"pulmonary valve stenosis","PMH0002086"
"pulmonary veno-occlusive disease","PMH0001139"
"pulse - bounding","PMH0003568"
"pupil - white spots","PMH0003798"
"purpura","PMH0003716"
"pustules","PMH0003718"
"pyloric stenosis","PMH0001965"
"pyogenic granuloma","PMH0002435"
"pyogenic liver abscess","PMH0001307"
"pyruvate kinase deficiency","PMH0002177"
"q fever","PMH0002313"
"q fever - early","PMH0001636"
"rabies","PMH0002310"
"radial nerve dysfunction","PMH0001794"
"radiation enteritis","PMH0001345"
"ramsay hunt syndrome","PMH0002613"
"rapid shallow breathing","PMH0004465"
"rash - child under 2 years","PMH0003743"
"rashes","PMH0003704"
"rat-bite fever","PMH0002324"
"raynaud’s phenomenon","PMH0001449"
"reactive arthritis","PMH0001476"
"reactive attachment disorder of infancy or early childhood","PMH0002514"
"rectal prolapse","PMH0002118"
"reflux nephropathy","PMH0001494"
"reifenstein syndrome","PMH0002153"
"relapsing fever","PMH0002326"
"renal and urological disorders","PMH0002245"
"renal cell carcinoma","PMH0001544"
"renal papillary necrosis","PMH0001518"
"renal vein thrombosis","PMH0001542"
"renovascular hypertension","PMH0001253"
"repeated nightmares","PMH0001813"
"reportable diseases","PMH0002656"
"respiratory acidosis","PMH0001154"
"respiratory alkalosis","PMH0001170"
"respiratory syncytial virus (rsv)","PMH0002531"
"restless leg syndrome","PMH0001810"
"restrictive cardiomyopathy","PMH0001241"
"retinal artery occlusion","PMH0002023"
"retinal detachment","PMH0002022"
"retinal vein occlusion","PMH0004583"
"retinitis pigmentosa","PMH0002024"
"retinoblastoma","PMH0002025"
"retinopathy of prematurity","PMH0002585"
"retrograde ejaculation","PMH0002261"
"retroperitoneal fibrosis","PMH0001497"
"retroperitoneal inflammation","PMH0002235"
"retropharyngeal abscess","PMH0001979"
"retroversion of the uterus","PMH0002475"
"rett syndrome","PMH0002503"
"reye syndrome","PMH0002532"
"rh incompatibility","PMH0002567"
"rhabdomyolysis","PMH0001505"
"rhabdomyosarcoma","PMH0002402"
"rheumatic fever","PMH0004388"
"rheumatoid arthritis","PMH0001467"
"rheumatoid lung disease","PMH0001172"
"rhinophyma","PMH0002032"
"ribcage pain","PMH0003596"
"rickets","PMH0001384"
"rickettsial pox","PMH0002327"
"riley-day syndrome","PMH0002363"
"ringworm","PMH0002411"
"rocky mountain spotted fever","PMH0001677"
"rosacea","PMH0001882"
"roseola","PMH0001963"
"rotator cuff problems","PMH0001474"
"rubella","PMH0002541"
"rubinstein-taybi syndrome","PMH0002229"
"rumination disorder","PMH0002506"
"ruptured eardrum","PMH0002033"
"russell-silver syndrome","PMH0002189"
"salivary duct stones","PMH0002034"
"salivary gland infections","PMH0002036"
"salivary gland tumors","PMH0002035"
"salmonella enterocolitis","PMH0001339"
"sanfilippo syndrome","PMH0002190"
"sarcoidosis","PMH0001140"
"satiety - early","PMH0003614"
"scabies","PMH0001833"
"scalded skin syndrome","PMH0002328"
"scales","PMH0003710"
"scarlet fever","PMH0001969"
"scheie syndrome","PMH0002226"
"schistosomiasis","PMH0002298"
"schizoaffective disorder","PMH0001927"
"schizoid personality disorder","PMH0001918"
"schizophrenia","PMH0001925"
"schizophrenia - disorganized type","PMH0001933"
"schizophrenia - paranoid type","PMH0001932"
"schizotypal personality disorder","PMH0002493"
"sciatica","PMH0001706"
"scleritis","PMH0001998"
"scleroderma","PMH0001465"
"scleroma","PMH0002236"
"sclerosing cholangitis","PMH0001330"
"scoliosis","PMH0002221"
"scrofula","PMH0002330"
"scrotal masses","PMH0002262"
"scrotal swelling","PMH0003647"
"scurvy","PMH0001395"
"seasonal affective disorder","PMH0002499"
"sebaceous cyst","PMH0001845"
"seborrheic dermatitis","PMH0001959"
"seborrheic keratosis","PMH0001887"
"secondary amenorrhea","PMH0002199"
"secondary parkinsonism","PMH0001766"
"secondary systemic amyloidosis","PMH0001611"
"seizures","PMH0003684"
"selective deficiency of iga","PMH0002447"
"selective mutism","PMH0002513"
"sensorimotor polyneuropathy","PMH0001758"
"sensorineural deafness","PMH0003775"
"separation anxiety","PMH0002509"
"sepsis","PMH0001687"
"septal hematoma","PMH0002270"
"septic arthritis","PMH0001466"
"septic shock","PMH0001689"
"septicemia","PMH0002331"
"serotonin syndrome","PMH0004531"
"sertoli-leydig cell tumor","PMH0002155"
"serum sickness","PMH0001823"
"severe acute respiratory syndrome (sars)","PMH0004460"
"sheehan syndrome","PMH0002158"
"shigellosis","PMH0001340"
"shingles","PMH0001861"
"short bowel syndrome","PMH0001284"
"short philtrum","PMH0003786"
"short stature","PMH0003755"
"shoulder pain","PMH0003657"
"sick sinus syndrome","PMH0001214"
"sickle cell anemia","PMH0001554"
"silent thyroiditis","PMH0001425"
"silicosis","PMH0001191"
"simian crease","PMH0003774"
"simple pulmonary eosinophilia","PMH0001166"
"sinusitis","PMH0001670"
"sjogren syndrome","PMH0001491"
"skeletal limb abnormalities","PMH0003656"
"skin - abnormally dark or light","PMH0003726"
"skin - clammy","PMH0003700"
"skin abscess","PMH0001866"
"skin blushing/flushing","PMH0003725"
"skin color - patchy","PMH0003708"
"skin discoloration - bluish","PMH0003699"
"skin lesion of blastomycosis","PMH0001868"
"skin lumps","PMH0003763"
"skin turgor","PMH0003765"
"sleep disorders - overview","PMH0001803"
"sleep disorders in the elderly","PMH0001129"
"sleeping sickness","PMH0002338"
"sleepwalking","PMH0001811"
"slipped capital femoral epiphysis","PMH0001967"
"small bowel bacterial overgrowth","PMH0001269"
"small intestinal ischemia and infarction","PMH0002136"
"smallpox","PMH0002332"
"smell - impaired","PMH0003543"
"sneezing","PMH0003551"
"snoring - adults","PMH0003691"
"social phobia","PMH0001953"
"solitary pulmonary nodule","PMH0001135"
"somatization disorder","PMH0001951"
"somatoform pain disorder","PMH0001920"
"spasmodic dysphonia","PMH0001760"
"spasmus nutans","PMH0002382"
"spasticity","PMH0003781"
"speech disorders - children","PMH0002403"
"spider angioma","PMH0002085"
"spinal cord abscess","PMH0002378"
"spinal cord trauma","PMH0002061"
"spinal muscular atrophy","PMH0001991"
"spinal stenosis","PMH0001477"
"spinal tumor","PMH0002376"
"splenic infarction","PMH0002271"
"splenomegaly","PMH0003760"
"splinter hemorrhages","PMH0003767"
"spondylolisthesis","PMH0002240"
"sporotrichosis","PMH0002314"
"squamous cell carcinoma","PMH0001832"
"stable angina","PMH0001247"
"stasis dermatitis and ulcers","PMH0001837"
"stereotypic movement disorder","PMH0002515"
"stools - floating","PMH0003615"
"stools - foul smelling","PMH0003619"
"stools - pale or clay-colored","PMH0003616"
"stork bite","PMH0002364"
"strabismus","PMH0001999"
"strep throat","PMH0001663"
"stress and anxiety","PMH0003695"
